SourceRepoName,SourceLink,ProjectName,VerControlToolName,BugsTrackerLink,BugsTrackerToolName
GitHub,https://github.com/JohnLangford/vowpal_wabbit.git,vowpal_wabbit,Git,https://github.com/JohnLangford/vowpal_wabbit/issues,Git
GitHub,https://github.com/ivansafrin/Polycode.git,Polycode,Git,https://github.com/ivansafrin/Polycode/issues,Git
GitHub,https://github.com/haoel/leetcode.git,leetcode,Git,https://github.com/haoel/leetcode/issues,Git
GitHub,https://github.com/mangos/MaNGOS.git,MaNGOS,Git,https://github.com/mangos/MaNGOS/issues,Git
GitHub,https://github.com/LaurentGomila/SFML.git,SFML,Git,https://github.com/LaurentGomila/SFML/issues,Git
GitHub,https://github.com/GarageGames/Torque3D.git,Torque3D,Git,https://github.com/GarageGames/Torque3D/issues,Git
GitHub,https://github.com/google/liquidfun.git,liquidfun,Git,https://github.com/google/liquidfun/issues,Git
GitHub,https://github.com/sandstorm-io/capnproto.git,capnproto,Git,https://github.com/sandstorm-io/capnproto/issues,Git
GitHub,https://github.com/v8/v8.git,v8,Git,https://github.com/v8/v8/issues,Git
GitHub,https://github.com/pagespeed/ngx_pagespeed.git,ngx_pagespeed,Git,https://github.com/pagespeed/ngx_pagespeed/issues,Git
GitHub,https://github.com/google/flatbuffers.git,flatbuffers,Git,https://github.com/google/flatbuffers/issues,Git
GitHub,https://github.com/paralect/robomongo.git,robomongo,Git,https://github.com/paralect/robomongo/issues,Git
GitHub,https://github.com/zealdocs/zeal.git,zeal,Git,https://github.com/zealdocs/zeal/issues,Git
GitHub,https://github.com/sandstorm-io/sandstorm.git,sandstorm,Git,https://github.com/sandstorm-io/sandstorm/issues,Git
GitHub,https://github.com/ideawu/ssdb.git,ssdb,Git,https://github.com/ideawu/ssdb/issues,Git
GitHub,https://github.com/Automattic/node-canvas.git,node-canvas,Git,https://github.com/Automattic/node-canvas/issues,Git
GitHub,https://github.com/breach/thrust.git,thrust,Git,https://github.com/breach/thrust/issues,Git
GitHub,https://github.com/tjanczuk/edge.git,edge,Git,https://github.com/tjanczuk/edge/issues,Git
